providedExternalId	providedName	parseRelation	parsedExternalId	parsedName	parsedAuthority	parsedRank	parsedCommonNames	parsedPath	parsedPathIds	parsedPathNames	parsedPathAuthorships	parsedNameSource	parsedNameSourceUrl	parsedNameSourceAccessedAt	alignRelation	alignedCatalogName	alignedExternalId	alignedName	alignedAuthorship	alignedRank	alignedCommonNames	alignedKingdomName	alignedKingdomId	alignedKingdomAuthorship	alignedPhylumName	alignedPhylumId	alignedPhylumAuthorship	alignedClassName	alignedClassId	alignedClassAuthorship	alignedOrderName	alignedOrderId	alignedOrderAuthorship	alignedFamilyName	alignedFamilyId	alignedFamilyAuthorship	alignedSubfamilyName	alignedSubfamilyId	alignedSubfamilyAuthorship	alignedTribeName	alignedTribeId	alignedTribeAuthorship	alignedSubtribeName	alignedSubtribeId	alignedSubtribeAuthorship	alignedGenusName	alignedGenusId	alignedGenusAuthorship	alignedSubgenusName	alignedSubgenusId	alignedSubgenusAuthorship	alignedSpeciesName	alignedSpeciesId	alignedSpeciesAuthorship	alignedSubspeciesName	alignedSubspeciesId	alignedSubspeciesAuthorship	alignedPath	alignedPathIds	alignedPathNames	alignedPathAuthorships	alignedNameSource	alignedNameSourceUrl	alignedNameSourceAccessedAt
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	NONE	batnames		Acer																																												batnames	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	HAS_ACCEPTED_NAME	col	https://www.catalogueoflife.org/data/taxon/MLD	Acer	L.	genus		Plantae	COL:P		Tracheophyta	COL:TP		Magnoliopsida	COL:MG		Sapindales	COL:B7VXJ	Juss. ex Bercht. & J. Presl	Sapindaceae	COL:FY3	Juss.	Hippocastanoideae	COL:JP8	Burnett							Acer	COL:MLD	L.										Biota | Plantae | Tracheophyta | Magnoliopsida | Sapindales | Sapindaceae | Hippocastanoideae | Acer	COL:5T6MX | COL:P | COL:TP | COL:MG | COL:B7VXJ | COL:FY3 | COL:JP8 | COL:MLD	unranked | kingdom | phylum | class | order | family | subfamily | genus	|  |  |  | Juss. ex Bercht. & J. Presl | Juss. | Burnett | L.	col	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	NONE	discoverlife		Acer																																												discoverlife	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	HAS_ACCEPTED_NAME	gbif	http://www.gbif.org/species/3189834	Acer		genus		Plantae	GBIF:6		Tracheophyta	GBIF:7707728		Magnoliopsida	GBIF:220		Sapindales	GBIF:933		Sapindaceae	GBIF:6657											Acer	GBIF:3189834											Plantae | Tracheophyta | Magnoliopsida | Sapindales | Sapindaceae | Acer	GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:933 | GBIF:6657 | GBIF:3189834	kingdom | phylum | class | order | family | genus	|  |  |  |  |	gbif	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	HAS_ACCEPTED_NAME	gbif	http://www.gbif.org/species/12089963	Acer		genus		Plantae	GBIF:6		Tracheophyta	GBIF:7707728		Magnoliopsida	GBIF:220		Sapindales	GBIF:933		Sapindaceae	GBIF:6657											Acer	GBIF:12089963											Plantae | Tracheophyta | Magnoliopsida | Sapindales | Sapindaceae | Acer	GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:933 | GBIF:6657 | GBIF:12089963	kingdom | phylum | class | order | family | genus	|  |  |  |  |	gbif	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	HAS_ACCEPTED_NAME	itis	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28727	Acer	L.	genus		Plantae	ITIS:202422					Magnoliopsida	ITIS:18063		Sapindales	ITIS:28643		Sapindaceae	ITIS:28657											Acer	ITIS:28727	L.										Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Spermatophytina | Magnoliopsida | Rosanae | Sapindales | Sapindaceae | Acer	ITIS:202422 | ITIS:954898 | ITIS:846494 | ITIS:954900 | ITIS:846496 | ITIS:846504 | ITIS:18063 | ITIS:846548 | ITIS:28643 | ITIS:28657 | ITIS:28727	kingdom | subkingdom | infrakingdom | superdivision | division | subdivision | class | superorder | order | family | genus	|  |  |  |  |  |  |  |  |  | L.	itis	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	NONE	mdd		Acer																																												mdd	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	SAME_AS	ncbi	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4022	Acer	L., 1753	genus		Viridiplantae	NCBI:33090	Cavalier-Smith, 1981	Streptophyta	NCBI:35493	Bremer, 1985	Magnoliopsida	NCBI:3398		Sapindales	NCBI:41937		Sapindaceae	NCBI:23672	Juss., 1789	Hippocastanoideae	NCBI:1977916		Acereae	NCBI:1977919					Acer	NCBI:4022	L., 1753										root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Sapindales | Sapindaceae | Hippocastanoideae | Acereae | Acer	NCBI:1 | NCBI:131567 | NCBI:2759 | NCBI:33090 | NCBI:35493 | NCBI:131221 | NCBI:3193 | NCBI:58023 | NCBI:78536 | NCBI:58024 | NCBI:3398 | NCBI:1437183 | NCBI:71240 | NCBI:91827 | NCBI:1437201 | NCBI:71275 | NCBI:91836 | NCBI:41937 | NCBI:23672 | NCBI:1977916 | NCBI:1977919 | NCBI:4022	|  | superkingdom | kingdom | phylum | subphylum | clade | clade | clade | clade | class | clade | clade | clade | clade | clade | clade | order | family | subfamily | tribe | genus	|  |  | Cavalier-Smith, 1981 | Bremer, 1985 |  |  | Sinnott ex Cavalier-Smith, 1998 |  |  |  | M.J.Donoghue, J.A.Doyle & P.D.Cantino, 2007 |  | D.E.Soltis, P.S.Soltis & W.S.Judd, 2007 | D.E.Soltis, P.S.Soltis & W.S.Judd, 2007 |  |  |  | Juss., 1789 |  |  | L., 1753	ncbi	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	HAS_ACCEPTED_NAME	ott	https://tree.opentreeoflife.org/opentree/ottol@948922	Acer		genus		Archaeplastida	OTT:5268475		Streptophyta	OTT:916750		Magnoliopsida	OTT:99252		Sapindales	OTT:229288		Sapindaceae	OTT:22442		Hippocastanoideae	OTT:7058334		Acereae	OTT:7058335					Acer	OTT:948922											life | cellular organisms | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Sapindales | Sapindaceae | Hippocastanoideae | Acereae | Acer	OTT:805080 | OTT:93302 | OTT:304358 | OTT:5268475 | OTT:361838 | OTT:916750 | OTT:56610 | OTT:10210 | OTT:1007992 | OTT:10218 | OTT:99252 | OTT:5298374 | OTT:431495 | OTT:853757 | OTT:5316182 | OTT:1008296 | OTT:565277 | OTT:229288 | OTT:22442 | OTT:7058334 | OTT:7058335 | OTT:948922	|  | domain | kingdom | kingdom | phylum |  | phylum |  |  | class |  |  |  |  |  |  | order | family | subfamily | tribe | genus	|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |	ott	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	HAS_ACCEPTED_NAME	pbdb	https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=54688	Acer	C. Linnaeus 1753	genus		Eukaryota	PBDB:1	É. Chatton 1925	Spermatophyta	PBDB:55350	L. J. Hickey 1977				Sapindales	PBDB:54934	F. v. Berchtold and J. S. Presl 1820	Sapindaceae	PBDB:54692	H. D. MacGinitie 1941										Acer	PBDB:54688	C. Linnaeus 1753										Life | Eukaryota | Plantae | Spermatophyta | Angiospermae | Rosids | Eurosids | Malvids | Sapindales | Sapindaceae | Acer	PBDB:28595 | PBDB:1 | PBDB:54311 | PBDB:55350 | PBDB:54885 | PBDB:307406 | PBDB:466625 | PBDB:307408 | PBDB:54934 | PBDB:54692 | PBDB:54688	unranked clade | kingdom | kingdom | phylum | phylum | unranked clade | unranked clade | unranked clade | order | family | genus	C. Linnaeus 1758 | É. Chatton 1925 | E. Haeckel 1866 | L. J. Hickey 1977 | D.J. Mabberley 2000 | E. Taylor and T. Taylor 2008 | The Angiosperm Phylogeny Group 2016 | E. Taylor and T. Taylor 2008 | F. v. Berchtold and J. S. Presl 1820 | H. D. MacGinitie 1941 | C. Linnaeus 1753	pbdb	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	OCCURS_IN	plazi	http://taxon-concept.plazi.org/id/Plantae/Acer__negundo_Linnaeus_1753	Acer		genus																																						Plantae | Tracheophyta | Magnoliopsida | Sapindales | Sapindaceae | Acer		kingdom | phylum | class | order | family | genus		plazi	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	OCCURS_IN	plazi	http://treatment.plazi.org/id/3048319BCFD43F0A4FFEAA1DB04C4AE8	http://treatment.plazi.org/id/3048319BCFD43F0A4FFEAA1DB04C4AE8																																								http://treatment.plazi.org/id/3048319BCFD43F0A4FFEAA1DB04C4AE8				plazi	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	OCCURS_IN	plazi	https://doi.org/10.5281/zenodo.291971	doi:10.5281/zenodo.291971																																								doi:10.5281/zenodo.291971				plazi	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
	Acer	SAME_AS		Acer								gbif-parse	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48	OCCURS_IN	plazi	http://taxon-concept.plazi.org/id/Plantae/Acer_Linnaeus_1753	Acer		genus																																						Plantae | Tracheophyta | Magnoliopsida | Sapindales | Sapindaceae | Acer		kingdom | phylum | class | order | family | genus		plazi	https://linker.bio,https://zenodo.org/records/11105453/files,https://zenodo.org/records/10810821/files,https://zenodo.org/records/10045382/files,https://zenodo.org/records/10037817/files,https://zenodo.org/records/8327611/files	hash://sha256/83617875e84bb8ae7ac2a257ad50eb8e82d8935d975f465b8ee8f3a803f72b48
